ClinicalSignificance_T0,VariationID,ClinicalSignificance_T1
Pathogenic,15561,Uncertain significance
Pathogenic,15561,Uncertain significance
Pathogenic,15561,Uncertain significance
other,15631,Conflicting classifications of pathogenicity
other,15631,Conflicting classifications of pathogenicity
other,15631,Conflicting classifications of pathogenicity
other,15631,Conflicting classifications of pathogenicity
other,15666,Uncertain significance
other,15666,Uncertain significance
other,15666,Uncertain significance
other,15666,Uncertain significance
other,15675,Uncertain significance
other,15675,Uncertain significance
other,15675,Uncertain significance
other,15675,Uncertain significance
other,15709,Uncertain significance
other,15709,Uncertain significance
other,15709,Uncertain significance
other,15709,Uncertain significance
other,15788,Uncertain significance
other,15788,Uncertain significance
other,15788,Uncertain significance
other,15788,Uncertain significance
Conflicting classifications of pathogenicity,16666,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,16666,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,16666,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,16666,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,17007,Pathogenic
Conflicting classifications of pathogenicity,17007,Pathogenic
Conflicting classifications of pathogenicity,17007,Pathogenic
Conflicting classifications of pathogenicity,17007,Pathogenic
Pathogenic,17259,Pathogenic/Likely pathogenic
Pathogenic,17259,Pathogenic/Likely pathogenic
Pathogenic,17259,Pathogenic/Likely pathogenic
Pathogenic,17259,Pathogenic/Likely pathogenic
Benign,17957,Benign/Likely benign
Benign,17957,Benign/Likely benign
Benign,17957,Benign/Likely benign
Benign,17957,Benign/Likely benign
not provided,21314,Uncertain significance
not provided,21314,Uncertain significance
not provided,21314,Uncertain significance
not provided,21314,Uncertain significance
not provided,21574,Pathogenic
not provided,21574,Pathogenic
not provided,21574,Pathogenic
not provided,21574,Pathogenic
Benign,21652,Benign/Likely benign
Benign,21652,Benign/Likely benign
Benign,21652,Benign/Likely benign
Benign,21652,Benign/Likely benign
Uncertain significance,25054,Likely pathogenic
Uncertain significance,25054,Likely pathogenic
Uncertain significance,25054,Likely pathogenic
Uncertain significance,25054,Likely pathogenic
Benign,38394,Benign/Likely benign
Benign,38394,Benign/Likely benign
Benign,38394,Benign/Likely benign
Benign,38394,Benign/Likely benign
Likely pathogenic,30574,Pathogenic/Likely pathogenic
Likely pathogenic,30574,Pathogenic/Likely pathogenic
Likely pathogenic,30574,Pathogenic/Likely pathogenic
Likely pathogenic,30574,Pathogenic/Likely pathogenic
Pathogenic,30606,Affects
Pathogenic,30606,Affects
Pathogenic,30606,Affects
Pathogenic,30606,Affects
Uncertain significance,31012,Conflicting classifications of pathogenicity
Uncertain significance,31012,Conflicting classifications of pathogenicity
Uncertain significance,31012,Conflicting classifications of pathogenicity
Uncertain significance,31012,Conflicting classifications of pathogenicity
Pathogenic,31949,Likely pathogenic
Pathogenic,31949,Likely pathogenic
Pathogenic,31949,Likely pathogenic
Pathogenic,31949,Likely pathogenic
Conflicting classifications of pathogenicity,35555,Benign
Conflicting classifications of pathogenicity,35555,Benign
Conflicting classifications of pathogenicity,35555,Benign
Conflicting classifications of pathogenicity,35555,Benign
Pathogenic/Likely pathogenic,36337,Likely pathogenic
Pathogenic/Likely pathogenic,36337,Likely pathogenic
Pathogenic/Likely pathogenic,36337,Likely pathogenic
Pathogenic/Likely pathogenic,36337,Likely pathogenic
Benign/Likely benign,38180,Benign
Benign/Likely benign,38180,Benign
Benign/Likely benign,38180,Benign
Benign/Likely benign,38180,Benign
Uncertain significance,38440,Conflicting classifications of pathogenicity
Uncertain significance,38440,Conflicting classifications of pathogenicity
Uncertain significance,38440,Conflicting classifications of pathogenicity
Uncertain significance,38440,Conflicting classifications of pathogenicity
Conflicting classifications of pathogenicity,38979,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,38979,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,38979,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,38979,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,39821,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,39821,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,39821,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,39821,Pathogenic/Likely pathogenic
Likely pathogenic,39995,Pathogenic/Likely pathogenic
Likely pathogenic,39995,Pathogenic/Likely pathogenic
Likely pathogenic,39995,Pathogenic/Likely pathogenic
Likely pathogenic,39995,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,41788,Benign/Likely benign
Conflicting classifications of pathogenicity,41788,Benign/Likely benign
Conflicting classifications of pathogenicity,41788,Benign/Likely benign
Conflicting classifications of pathogenicity,41788,Benign/Likely benign
Conflicting classifications of pathogenicity,41863,Benign/Likely benign
Conflicting classifications of pathogenicity,41863,Benign/Likely benign
Conflicting classifications of pathogenicity,41863,Benign/Likely benign
Conflicting classifications of pathogenicity,41863,Benign/Likely benign
Likely pathogenic,43212,Conflicting classifications of pathogenicity
Likely pathogenic,43212,Conflicting classifications of pathogenicity
Likely pathogenic,43212,Conflicting classifications of pathogenicity
Likely pathogenic,43212,Conflicting classifications of pathogenicity
Pathogenic,43291,Pathogenic/Likely pathogenic
Pathogenic,43291,Pathogenic/Likely pathogenic
Pathogenic,43291,Pathogenic/Likely pathogenic
Pathogenic,43291,Pathogenic/Likely pathogenic
Pathogenic,43628,Pathogenic/Likely pathogenic
Pathogenic,43628,Pathogenic/Likely pathogenic
Pathogenic,43628,Pathogenic/Likely pathogenic
Pathogenic,43628,Pathogenic/Likely pathogenic
Benign,43857,Benign/Likely benign
Benign,43857,Benign/Likely benign
Benign,43857,Benign/Likely benign
Benign,43857,Benign/Likely benign
Benign,45875,Benign/Likely benign
Benign,45875,Benign/Likely benign
Benign,45875,Benign/Likely benign
Benign,45875,Benign/Likely benign
Benign,45978,Benign/Likely benign
Benign,45978,Benign/Likely benign
Benign,45978,Benign/Likely benign
Benign,45978,Benign/Likely benign
Benign,46002,Benign/Likely benign
Benign,46002,Benign/Likely benign
Benign,46002,Benign/Likely benign
Benign,46002,Benign/Likely benign
Benign,46026,Benign/Likely benign
Benign,46026,Benign/Likely benign
Benign,46026,Benign/Likely benign
Benign,46026,Benign/Likely benign
Benign,46028,Benign/Likely benign
Benign,46028,Benign/Likely benign
Benign,46028,Benign/Likely benign
Benign,46028,Benign/Likely benign
Benign,46042,Benign/Likely benign
Benign,46042,Benign/Likely benign
Benign,46042,Benign/Likely benign
Benign,46042,Benign/Likely benign
Likely pathogenic,47115,Pathogenic/Likely pathogenic
Likely pathogenic,47115,Pathogenic/Likely pathogenic
Likely pathogenic,47115,Pathogenic/Likely pathogenic
Likely pathogenic,47115,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,47398,Benign/Likely benign
Conflicting classifications of pathogenicity,47398,Benign/Likely benign
Conflicting classifications of pathogenicity,47398,Benign/Likely benign
Conflicting classifications of pathogenicity,47398,Benign/Likely benign
Uncertain significance,48442,Conflicting classifications of pathogenicity
Uncertain significance,48442,Conflicting classifications of pathogenicity
Uncertain significance,48442,Conflicting classifications of pathogenicity
Uncertain significance,48442,Conflicting classifications of pathogenicity
Likely pathogenic,49877,Pathogenic/Likely pathogenic
Likely pathogenic,49877,Pathogenic/Likely pathogenic
Likely pathogenic,49877,Pathogenic/Likely pathogenic
Likely pathogenic,49877,Pathogenic/Likely pathogenic
Benign/Likely benign,51067,Conflicting classifications of pathogenicity
Benign/Likely benign,51067,Conflicting classifications of pathogenicity
Benign/Likely benign,51067,Conflicting classifications of pathogenicity
Benign/Likely benign,51067,Conflicting classifications of pathogenicity
Conflicting classifications of pathogenicity,51085,Benign
Conflicting classifications of pathogenicity,51085,Benign
Conflicting classifications of pathogenicity,51085,Benign
Conflicting classifications of pathogenicity,51085,Benign
Uncertain significance,51853,Conflicting classifications of pathogenicity
Uncertain significance,51853,Conflicting classifications of pathogenicity
Uncertain significance,51853,Conflicting classifications of pathogenicity
Uncertain significance,51853,Conflicting classifications of pathogenicity
Uncertain significance,52106,Conflicting classifications of pathogenicity
Uncertain significance,52106,Conflicting classifications of pathogenicity
Uncertain significance,52106,Conflicting classifications of pathogenicity
Uncertain significance,52106,Conflicting classifications of pathogenicity
Conflicting classifications of pathogenicity,52400,Likely pathogenic
Conflicting classifications of pathogenicity,52400,Likely pathogenic
Conflicting classifications of pathogenicity,52400,Likely pathogenic
Conflicting classifications of pathogenicity,52400,Likely pathogenic
Conflicting classifications of pathogenicity,52568,Likely pathogenic
Conflicting classifications of pathogenicity,52568,Likely pathogenic
Conflicting classifications of pathogenicity,52568,Likely pathogenic
Conflicting classifications of pathogenicity,52568,Likely pathogenic
Pathogenic/Likely pathogenic,52780,Likely pathogenic
Pathogenic/Likely pathogenic,52780,Likely pathogenic
Pathogenic/Likely pathogenic,52780,Likely pathogenic
Pathogenic/Likely pathogenic,52780,Likely pathogenic
Pathogenic,53114,Pathogenic/Likely pathogenic
Pathogenic,53114,Pathogenic/Likely pathogenic
Pathogenic,53114,Pathogenic/Likely pathogenic
Pathogenic,53114,Pathogenic/Likely pathogenic
not provided,53533,Likely pathogenic
not provided,53533,Likely pathogenic
not provided,53533,Likely pathogenic
not provided,53533,Likely pathogenic
Likely benign,53863,Conflicting classifications of pathogenicity
Likely benign,53863,Conflicting classifications of pathogenicity
Likely benign,53863,Conflicting classifications of pathogenicity
Likely benign,53863,Conflicting classifications of pathogenicity
Conflicting classifications of pathogenicity,55028,Likely benign
Conflicting classifications of pathogenicity,55028,Likely benign
Conflicting classifications of pathogenicity,55028,Likely benign
Conflicting classifications of pathogenicity,55028,Likely benign
Conflicting classifications of pathogenicity,55412,Likely pathogenic
Conflicting classifications of pathogenicity,55412,Likely pathogenic
Conflicting classifications of pathogenicity,55412,Likely pathogenic
Conflicting classifications of pathogenicity,55412,Likely pathogenic
Pathogenic/Likely pathogenic,55415,Likely pathogenic
Pathogenic/Likely pathogenic,55415,Likely pathogenic
Pathogenic/Likely pathogenic,55415,Likely pathogenic
Pathogenic/Likely pathogenic,55415,Likely pathogenic
Likely pathogenic,55505,Pathogenic
Likely pathogenic,55505,Pathogenic
Likely pathogenic,55505,Pathogenic
Likely pathogenic,55505,Pathogenic
Conflicting classifications of pathogenicity,55552,Likely pathogenic
Conflicting classifications of pathogenicity,55552,Likely pathogenic
Conflicting classifications of pathogenicity,55552,Likely pathogenic
Conflicting classifications of pathogenicity,55552,Likely pathogenic
Conflicting classifications of pathogenicity,55573,Uncertain significance
Conflicting classifications of pathogenicity,55573,Uncertain significance
Conflicting classifications of pathogenicity,55573,Uncertain significance
Conflicting classifications of pathogenicity,55573,Uncertain significance
Likely pathogenic,55578,Pathogenic/Likely pathogenic
Likely pathogenic,55578,Pathogenic/Likely pathogenic
Likely pathogenic,55578,Pathogenic/Likely pathogenic
Likely pathogenic,55578,Pathogenic/Likely pathogenic
Conflicting classifications of pathogenicity,55718,Likely pathogenic
Conflicting classifications of pathogenicity,55718,Likely pathogenic
Conflicting classifications of pathogenicity,55718,Likely pathogenic
Conflicting classifications of pathogenicity,55718,Likely pathogenic
Uncertain significance,55980,Conflicting classifications of pathogenicity
Uncertain significance,55980,Conflicting classifications of pathogenicity
Uncertain significance,55980,Conflicting classifications of pathogenicity
Uncertain significance,55980,Conflicting classifications of pathogenicity
Conflicting classifications of pathogenicity,56366,Likely pathogenic
Conflicting classifications of pathogenicity,56366,Likely pathogenic
Conflicting classifications of pathogenicity,56366,Likely pathogenic
Conflicting classifications of pathogenicity,56366,Likely pathogenic
Pathogenic/Likely pathogenic,56407,Pathogenic
Pathogenic/Likely pathogenic,56407,Pathogenic
Pathogenic/Likely pathogenic,56407,Pathogenic
Pathogenic/Likely pathogenic,56407,Pathogenic
Uncertain significance,60753,Conflicting classifications of pathogenicity
Uncertain significance,60753,Conflicting classifications of pathogenicity
Uncertain significance,60753,Conflicting classifications of pathogenicity
Uncertain significance,60753,Conflicting classifications of pathogenicity
not provided,65598,Uncertain significance
not provided,65598,Uncertain significance
not provided,65598,Uncertain significance
not provided,65598,Uncertain significance
Likely pathogenic,65759,Conflicting classifications of pathogenicity
Likely pathogenic,65759,Conflicting classifications of pathogenicity
Likely pathogenic,65759,Conflicting classifications of pathogenicity
Likely pathogenic,65759,Conflicting classifications of pathogenicity
not provided,66263,Pathogenic
not provided,66263,Pathogenic
not provided,66263,Pathogenic
not provided,66263,Pathogenic
Pathogenic,68150,Conflicting classifications of pathogenicity
Pathogenic,68150,Conflicting classifications of pathogenicity
Pathogenic,68150,Conflicting classifications of pathogenicity
Pathogenic,68150,Conflicting classifications of pathogenicity
Pathogenic,68189,Conflicting classifications of pathogenicity
Pathogenic,68189,Conflicting classifications of pathogenicity
Pathogenic,68189,Conflicting classifications of pathogenicity
Pathogenic,68189,Conflicting classifications of pathogenicity
Uncertain significance,68272,Conflicting classifications of pathogenicity
Uncertain significance,68272,Conflicting classifications of pathogenicity
Uncertain significance,68272,Conflicting classifications of pathogenicity
Uncertain significance,68272,Conflicting classifications of pathogenicity
Benign/Likely benign,1453481,Conflicting classifications of pathogenicity
Benign/Likely benign,1453481,Conflicting classifications of pathogenicity
Benign/Likely benign,1453481,Conflicting classifications of pathogenicity
Benign/Likely benign,1453481,Conflicting classifications of pathogenicity
Benign,75396,Benign/Likely benign
Benign,75396,Benign/Likely benign
Benign,75396,Benign/Likely benign
Benign,75396,Benign/Likely benign
Conflicting classifications of pathogenicity,91649,Pathogenic
Conflicting classifications of pathogenicity,91649,Pathogenic
Conflicting classifications of pathogenicity,91649,Pathogenic
Conflicting classifications of pathogenicity,91649,Pathogenic
Benign,92382,Benign/Likely benign
Benign,92382,Benign/Likely benign
Benign,92382,Benign/Likely benign
Benign,92382,Benign/Likely benign
Uncertain significance,92540,Conflicting classifications of pathogenicity
Uncertain significance,92540,Conflicting classifications of pathogenicity
Uncertain significance,92540,Conflicting classifications of pathogenicity
Uncertain significance,92540,Conflicting classifications of pathogenicity
Pathogenic,92560,Pathogenic/Likely pathogenic
Pathogenic,92560,Pathogenic/Likely pathogenic
Pathogenic,92560,Pathogenic/Likely pathogenic
Pathogenic,92560,Pathogenic/Likely pathogenic
Likely pathogenic,92820,Pathogenic
Likely pathogenic,92820,Pathogenic
Likely pathogenic,92820,Pathogenic
Likely pathogenic,92820,Pathogenic
Benign,93608,Benign/Likely benign
Benign,93608,Benign/Likely benign
Benign,93608,Benign/Likely benign
Benign,93608,Benign/Likely benign
Benign,93610,Benign/Likely benign
Benign,93610,Benign/Likely benign
Benign,93610,Benign/Likely benign
Benign,93610,Benign/Likely benign
Benign,93613,Benign/Likely benign
Benign,93613,Benign/Likely benign
Benign,93613,Benign/Likely benign
Benign,93613,Benign/Likely benign
Benign,93614,Benign/Likely benign
Benign,93614,Benign/Likely benign
Benign,93614,Benign/Likely benign
Benign,93614,Benign/Likely benign
Benign,93618,Benign/Likely benign
Benign,93618,Benign/Likely benign
Benign,93618,Benign/Likely benign
Benign,93618,Benign/Likely benign
Benign,94217,Benign/Likely benign
Benign,94217,Benign/Likely benign
Benign,94217,Benign/Likely benign
Benign,94217,Benign/Likely benign
Conflicting classifications of pathogenicity,94391,Likely pathogenic
Conflicting classifications of pathogenicity,94391,Likely pathogenic
Conflicting classifications of pathogenicity,94391,Likely pathogenic
Conflicting classifications of pathogenicity,94391,Likely pathogenic
Benign,95015,Benign/Likely benign
Benign,95015,Benign/Likely benign
Benign,95015,Benign/Likely benign
Benign,95015,Benign/Likely benign
Benign,95278,Benign/Likely benign
Benign,95278,Benign/Likely benign
Benign,95278,Benign/Likely benign
Benign,95278,Benign/Likely benign
Pathogenic,96251,Uncertain significance
Pathogenic,96251,Uncertain significance
Pathogenic,96251,Uncertain significance
Pathogenic,96251,Uncertain significance
Uncertain significance,96282,Conflicting classifications of pathogenicity
Uncertain significance,96282,Conflicting classifications of pathogenicity
Uncertain significance,96282,Conflicting classifications of pathogenicity
Uncertain significance,96282,Conflicting classifications of pathogenicity
Conflicting classifications of pathogenicity,96760,Likely benign
Conflicting classifications of pathogenicity,96760,Likely benign
Conflicting classifications of pathogenicity,96760,Likely benign
Conflicting classifications of pathogenicity,96760,Likely benign
Conflicting classifications of pathogenicity,96859,Likely pathogenic
Conflicting classifications of pathogenicity,96859,Likely pathogenic
